,index,desc
0,0,"In a future North America, where the rulers of Panem maintain control
through an annual televised survival competition pitting young people from
each of the twelve districts against one another, sixteen-year-old
Katniss's skills are put to the test when she voluntarily takes her younger
sister's place."
1,1,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with
a great destiny proves his worth while attending Hogwarts School for
Witchcraft and Wizardry."
2,2,"With 160 million copies of the Twilight Saga sold worldwide, this addictive
love story between a teenage girl and a vampire redefined romance for a
generation. Here's the book that started it all. Isabella Swan's move to
Forks, a small, perpetually rainy town in Washington, could have been the
most boring move she ever made. But once she meets the mysterious and
alluring Edward Cullen, Isabella's life takes a thrilling and terrifying
turn. Up until now, Edward has managed to keep his vampire identity a
secret in the small community he lives in, but now nobody is safe,
especially Isabella, the person Edward holds most dear. The lovers find
themselves balanced precariously on the point of a knife-between desire and
danger. Deeply romantic and extraordinarily suspenseful, Twilightcaptures
the struggle between defying our instincts and satisfying our desires. This
is a love story with bite. ""People do not want to just read Meyer's books;
they want to climb inside them and live there.""-Time ""A literary
phenomenon.""-The New York Times"
3,3,"The unforgettable novel of a childhood in a sleepy Southern town and the
crisis of conscience that rocked it, To Kill A Mockingbird became both an
instant bestseller and a critical success when it was first published in
1960. It went on to win the Pulitzer Prize in 1961 and was later made into
an Academy Award-winning film, also a classic. Compassionate, dramatic, and
deeply moving, To Kill A Mockingbird takes readers to the roots of human
behavior - to innocence and experience, kindness and cruelty, love and
hatred, humor and pathos. Now with over 18 million copies in print and
translated into forty languages, this regional story by a young Alabama
woman claims universal appeal. Harper Lee always considered her book to be
a simple love story. Today it is regarded as a masterpiece of American
literature."
4,4,"A young man newly rich tries to recapture the past and win back his former
love, despite the fact that she has married."
5,5,"Despite the medical miracle that has bought her a few more years, Hazel has
never been anything but terminal, but when Augustus Waters suddenly appears
at the Cancer Kid Support Group, Hazel's story is about to be rewritten."
6,6,"Chronicles the adventures of the inhabitants of Middle-earth and Bilbo
Baggins, the hobbit who brought home to The Shire the One Ring of Power"
7,7,"The ""brilliant, funny, meaningful novel"" (The New Yorker) that established
J. D. Salinger as a leading voice in American literature--and that has
instilled in millions of readers around the world a lifelong love of books.
""If you really want to hear about it, the first thing you'll probably want
to know is where I was born, and what my lousy childhood was like, and how
my parents were occupied and all before they had me, and all that David
Copperfield kind of crap, but I don't feel like going into it, if you want
to know the truth."" The hero-narrator of The Catcher in the Rye is an
ancient child of sixteen, a native New Yorker named Holden Caufield.
Through circumstances that tend to preclude adult, secondhand description,
he leaves his prep school in Pennsylvania and goes underground in New York
City for three days."
8,8,"The explosive Robert Langdon thriller from Dan Brown, the #1 New York Times
bestselling author of The Da Vinci Code and Inferno—now a major film
directed by Ron Howard and starring Tom Hanks and Felicity Jones. Angels &
Demons careens from enlightening epiphanies to dark truths as the battle
between science and religion turns to war. This is the book that started it
all: we meet Robert Langdon for the first time, caught up in a race against
time to find an apocalyptic time-bomb, planted by an ancient secret society
that has surfaced to carry out its ultimate threat: to destroy the Vatican."
9,9,"In early nineteenth-century England, a spirited young woman copes with the
suit of a snobbish gentleman, as well as the romantic entanglements of her
four sisters."
10,10,The Kite Runner Khaled Hosseini
11,11,"Paperback features over fifty pages of bonus materials, including a sneak
peek of Insurgent, an author Q&A, a discussion guide, a Divergent playlist,
faction manifestos, and more! In Beatrice Prior's dystopian Chicago world,
society is divided into five factions, each dedicated to the cultivation of
a particular virtue—Candor (the honest), Abnegation (the selfless),
Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent).
On an appointed day of every year, all sixteen-year-olds must select the
faction to which they will devote the rest of their lives. For Beatrice,
the decision is between staying with her family and being who she really
is—she can't have both. So she makes a choice that surprises everyone,
including herself. During the highly competitive initiation that follows,
Beatrice renames herself Tris and struggles alongside her fellow initiates
to live out the choice they have made. Together they must undergo extreme
physical tests of endurance and intense psychological simulations, some
with devastating consequences. As initiation transforms them all, Tris must
determine who her friends really are—and where, exactly, a romance with a
sometimes fascinating, sometimes exasperating boy fits into the life she's
chosen. But Tris also has a secret, one she's kept hidden from everyone
because she's been warned it can mean death. And as she discovers unrest
and growing conflict that threaten to unravel her seemingly perfect
society, she also learns that her secret might help her save those she
loves . . . or it might destroy her. Veronica Roth is the New York Times
bestselling author of Divergent, the first in a trilogy of dystopian
thrillers filled with electrifying decisions, heartbreaking betrayals,
stunning consequences, and unexpected romance."
12,12,"Renowned urban artist Shepard Fairey's new look for Orwell's classic
dystopian tale One of Britain's most popular novels, George Orwell's
Nineteen Eighty-Four is set in a society terrorised by a totalitarian
ideology propagated by The Party. Winston Smith works for the Ministry of
Truth in London, chief city of Airstrip One. Big Brother stares out from
every poster, the Thought Police uncover every act of betrayal. When
Winston finds love with Julia, he discovers that life does not have to be
dull and deadening, and awakens to new possibilities. Despite the police
helicopters that hover and circle overhead, Winston and Julia begin to
question the Party; they are drawn towards conspiracy. Yet Big Brother will
not tolerate dissent - even in the mind. For those with original thoughts
they invented Room 101. . . Nineteen Eighty-Four is George Orwell's
terrifying vision of a totalitarian future in which everything and everyone
is slave to a tyrannical regime. The novel also coined many new words and
phrases which regular appear in popular culture, such as 'Big Brother',
'thoughtcrime', 'doublethink' and 'Newspeak'."
13,13,"A satire on totalitarianism in which farm animals overthrow their human
owner and set up their own government"
14,14,"Dagboek waarin een gevoelig joods meisje, ondergedoken in een achterhuis op
één der Amsterdamse grachten, zich met grote openhartigheid uitspreekt over
ales wat haar van haar 13e tot haar 15e jaar bezighoudt."
15,15,"Forty years after the disappearance of Harriet Vanger from the secluded
island owned and inhabited by the powerful Vanger family, her octogenarian
uncle hires journalist Mikael Blomqvist and Lisbeth Salander, an
unconventional young hacker, to investigate."
16,16,"By winning the Hunger Games, Katniss and Peeta have secured a life of
safety and plenty for themselves and their families, but because they won
by defying the rules, they unwittingly become the faces of an impending
rebellion."
